Changing Variable,mean_neg_dwell_time,mean_pos_dwell_time,pos_time_fraction,neg_time_fraction,pos_fraction + neg_fraction,p,sigma,B,x0,y0,z0,steps,dt
41,1.3281296101387772,1.3058809586739684,0.49584250415748027,0.5041574958425197,1.0,41,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
41,1.3286610214568984,1.3175443239180304,0.4978995021005649,0.5021004978994351,1.0,41,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
41,1.33191773646513,1.2876060765019528,0.49160750839248857,0.5083924916075114,1.0,41,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
41,1.3158664212688598,1.3132939011793856,0.4995765004235523,0.5004234995764477,1.0,41,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
42,1.3089809747424566,1.2968863991883925,0.4977445022554487,0.5022554977445512,1.0,42,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
42,1.3076519697589157,1.3009337506744738,0.4987775012225202,0.5012224987774798,1.0,42,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
42,1.2972553576262087,1.2847250193869224,0.4975735024265015,0.5024264975734986,1.0,42,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
42,1.2688451646309986,1.3028387760572213,0.5066734933264525,0.4933265066735475,1.0,42,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
42,1.2842077786699329,1.3257332985614152,0.5080204919795117,0.4919795080204883,1.0,42,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
42,1.292816431344414,1.2742530801040461,0.49644850355150105,0.503551496448499,1.0,42,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
43,1.2489203407027059,1.2560921843904445,0.5014314985685494,0.49856850143145054,1.0,43,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
43,1.2710119198799117,1.264809837749839,0.49884050115946243,0.5011594988405376,1.0,43,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
43,1.261725875557114,1.2578029730626532,0.49922150077848687,0.5007784992215131,1.0,43,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
43,1.2273664596484217,1.2567958271452955,0.5059854940145062,0.4940145059854938,1.0,43,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
43,1.2526307847296927,1.2624622736636315,0.5019544980455354,0.4980455019544646,1.0,43,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
43,1.2585309601621157,1.248052631600295,0.49797250202745763,0.5020274979725423,1.0,43,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
44,1.2799291498195775,1.2504377530579165,0.4941725058274901,0.5058274941725098,1.0,44,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
44,1.264731048307963,1.23714786091692,0.49448750551248927,0.5055124944875107,1.0,44,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
44,1.257312500021564,1.2426900000214003,0.4970755029245146,0.5029244970754854,1.0,44,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
44,1.2513711877231537,1.2281750558106566,0.49532250467742067,0.5046774953225793,1.0,44,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
44,1.2493617551947303,1.2434745762925705,0.4988815011185046,0.5011184988814954,1.0,44,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
44,1.2633358302338606,1.2335455680612346,0.49403450596552817,0.5059654940344718,1.0,44,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
45,1.2071028946935776,1.2250997081922566,0.5037604962395023,0.4962395037604978,1.0,45,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
45,1.1924194703141036,1.1933635496387043,0.5002574997424479,0.4997425002575521,1.0,45,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
45,1.1974897417536707,1.2159290540749033,0.5038804961194843,0.49611950388051573,1.0,45,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
45,1.2036944377180818,1.2252611124815433,0.5044394955604866,0.4955605044395133,1.0,45,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
45,1.2359453525461432,1.2036765064857806,0.4933865066135357,0.5066134933864643,1.0,45,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
45,1.1892582813454224,1.2111281805297232,0.5045554954445161,0.49544450455548394,1.0,45,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
46,1.1829137199638136,1.1744672324576517,0.4982085017914721,0.501791498208528,1.0,46,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
46,1.1525828278312877,1.1803219034492554,0.5060034939965058,0.4939965060034942,1.0,46,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
46,1.18175442741117,1.1795230224523143,0.49952750047246997,0.50047249952753,1.0,46,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
46,1.1527519110692075,1.1636738475992792,0.5023574976424778,0.49764250235752217,1.0,46,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
46,1.1681721947977655,1.1842178311189262,0.5034104965895075,0.4965895034104925,1.0,46,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
46,1.172461466624405,1.1626266635736993,0.49795250204755576,0.5020474979524443,1.0,46,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
47,1.1832020873068292,1.1887167931893416,0.5011624988375148,0.49883750116248515,1.0,47,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
47,1.1964644051806315,1.1924534161695493,0.4991605008394941,0.500839499160506,1.0,47,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
47,1.185048201290011,1.1659614480689797,0.4959995040005159,0.5040004959994842,1.0,47,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
47,1.1913156020152373,1.183419615313629,0.49833750166250323,0.5016624983374968,1.0,47,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
47,1.1808380682020911,1.1865885416870794,0.5012144987855098,0.49878550121449017,1.0,47,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
47,1.1850940733976236,1.166468375284543,0.49609850390148647,0.5039014960985135,1.0,47,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
48,1.1383413627173196,1.155500000019968,0.5037974962025518,0.4962025037974482,1.0,48,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
48,1.145205040111313,1.145747995437795,0.5001184998815028,0.49988150011849725,1.0,48,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
48,1.1451193755935352,1.1505670339959635,0.5011864988135297,0.4988135011864703,1.0,48,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
48,1.1537950011664462,1.1389981659983917,0.4968305031694569,0.5031694968305431,1.0,48,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
48,1.1581166126993132,1.155362017137503,0.4994625005374584,0.5005374994625416,1.0,48,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
48,1.1476678933039952,1.1519774661039515,0.5009944990054996,0.4990055009945004,1.0,48,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
49,1.104462318220849,1.0991538122709659,0.498795501204491,0.501204498795509,1.0,49,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
49,1.123697365477511,1.1280499887606914,0.5009664990335145,0.49903350096648547,1.0,49,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
49,1.1266426642859153,1.123584608480029,0.49932050067944306,0.500679499320557,1.0,49,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
49,1.1136534587163145,1.1247358997506893,0.5025314974684741,0.4974685025315258,1.0,49,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
49,1.125191661081935,1.1164604348992029,0.4980525019474731,0.5019474980525269,1.0,49,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
49,1.1194901610209902,1.116648032219586,0.49936450063551635,0.5006354993644837,1.0,49,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
50,1.1103605015864981,1.1285292142571202,0.5041134958864962,0.4958865041135038,1.0,50,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
50,1.1506648389506122,1.1340073109629945,0.4963545036454689,0.5036454963545312,1.0,50,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
50,1.1351508329776698,1.1160895992987498,0.4957665042334804,0.5042334957665197,1.0,50,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
50,1.1511589253385106,1.1254541315923328,0.4944115055885094,0.5055884944114906,1.0,50,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
50,1.13489772984641,1.112550561816894,0.49508450491550454,0.5049154950844954,1.0,50,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
50,1.1189627301493847,1.1262123933737085,0.5016144983855307,0.49838550161446926,1.0,50,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
51,1.1221547834127,1.1339093165095353,0.5026614973385412,0.4973385026614589,1.0,51,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
51,1.1149540667903393,1.1256934797415579,0.5023964976035257,0.4976035023964744,1.0,51,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
51,1.123529676278228,1.1244212182706894,0.5002544997455328,0.4997455002544672,1.0,51,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
51,1.1258566907969285,1.1345433996578311,0.5019214980785006,0.49807850192149944,1.0,51,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
51,1.1186852678763028,1.113211336774385,0.49882950117052804,0.501170498829472,1.0,51,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
51,1.1050022173137894,1.112294900240946,0.5016444983555473,0.4983555016444528,1.0,51,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
52,1.0764135112060682,1.074820391500549,0.4996835003165175,0.5003164996834825,1.0,52,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
52,1.0900521286025462,1.081974370131567,0.4981405018595107,0.5018594981404892,1.0,52,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
52,1.0768240156808788,1.0982709874047099,0.5049844950155121,0.4950155049844879,1.0,52,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
52,1.0799440980619308,1.069903267430313,0.49771850228152575,0.5022814977184742,1.0,52,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
52,1.0865112749535375,1.0815131151281467,0.4989015010985391,0.5010984989014609,1.0,52,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
52,1.0912505409100977,1.0720852260621643,0.49562450437551653,0.5043754956244835,1.0,52,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
53,1.0267298578375799,1.0338532866445667,0.5017284982714874,0.49827150172851264,1.0,53,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
53,1.028382352958827,1.0141033496906535,0.49650450349550773,0.5034954965044922,1.0,53,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
53,1.0262688728201257,1.041770057916987,0.5037994962005006,0.49620050379949937,1.0,53,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
53,1.0211172725581037,1.0326945984979359,0.5028184971815065,0.4971815028184935,1.0,53,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
53,1.0224579401078893,1.029247025048421,0.5016544983454808,0.49834550165451924,1.0,53,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
53,1.0224142182216795,1.032241627303666,0.5023914976085627,0.4976085023914373,1.0,53,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
54,0.9841080974233423,0.9956998614307175,0.5029274970725153,0.4970725029274848,1.0,54,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
54,1.0048860000173157,0.9951160000170557,0.4975575024424746,0.5024424975575255,1.0,54,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
